State,Year,Ranking
Georgia,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Georgia,2004,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Georgia,2008,Options to vote early-in person and by mail available to all voters. 
Georgia,2012,Options to vote early-in person and by mail available to all voters. 
Georgia,2016,Options to vote early-in person and by mail available to all voters. 
Georgia,2020,Options to vote early-in person and by mail available to all voters. 
Georgia,2024,Options to vote early-in person and by mail available to all voters. 
Hawaii,2000,Options to vote early-in person and by mail available to all voters. 
Hawaii,2004,Options to vote early-in person and by mail available to all voters. 
Hawaii,2008,Options to vote early-in person and by mail available to all voters. 
Hawaii,2012,Options to vote early-in person and by mail available to all voters. 
Hawaii,2016,Options to vote early-in person and by mail available to all voters. 
Hawaii,2020,Options to vote early-in person and by mail available to all voters. 
Hawaii,2024,Options to vote early-in person and by mail available to all voters. 
Idaho,2000,Options to vote early-in person and by mail available to all voters. 
Idaho,2004,Options to vote early-in person and by mail available to all voters. 
Idaho,2008,Options to vote early-in person and by mail available to all voters. 
Idaho,2012,Options to vote early-in person and by mail available to all voters. 
Idaho,2016,Options to vote early-in person and by mail available to all voters. 
Idaho,2020,Options to vote early-in person and by mail available to all voters. 
Idaho,2024,Options to vote early-in person and by mail available to all voters. 
Illinois,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Illinois,2004,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Illinois,2008,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Illinois,2012,Options to vote early-in person and by mail available to all voters. 
Illinois,2016,Options to vote early-in person and by mail available to all voters. 
Illinois,2020,Options to vote early-in person and by mail available to all voters. 
Illinois,2024,Options to vote early-in person and by mail available to all voters. 
Indiana,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Indiana,2004,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Indiana,2008,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Indiana,2012,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Indiana,2016,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Indiana,2020,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Indiana,2024,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Iowa,2000,Options to vote early-in person and by mail available to all voters. 
Iowa,2004,Options to vote early-in person and by mail available to all voters. 
Iowa,2008,Options to vote early-in person and by mail available to all voters. 
Iowa,2012,Options to vote early-in person and by mail available to all voters. 
Iowa,2016,Options to vote early-in person and by mail available to all voters. 
Iowa,2020,Options to vote early-in person and by mail available to all voters. 
Iowa,2024,Options to vote early-in person and by mail available to all voters. 
Kansas,2000,Options to vote early-in person and by mail available to all voters. 
Kansas,2004,Options to vote early-in person and by mail available to all voters. 
Kansas,2008,Options to vote early-in person and by mail available to all voters. 
Kansas,2012,Options to vote early-in person and by mail available to all voters. 
Kansas,2016,Options to vote early-in person and by mail available to all voters. 
Kansas,2020,Options to vote early-in person and by mail available to all voters. 
Kansas,2024,Options to vote early-in person and by mail available to all voters. 
Kentucky,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Kentucky,2004,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Kentucky,2008,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Kentucky,2012,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Kentucky,2016,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Kentucky,2020,Options to vote early-in person and by mail available to all voters. 
Kentucky,2024,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Louisiana,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Louisiana,2004,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Louisiana,2008,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Louisiana,2012,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Louisiana,2016,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Louisiana,2020,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Louisiana,2024,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Maine,2000,Options to vote early-in person and by mail available to all voters. 
Maine,2004,Options to vote early-in person and by mail available to all voters. 
Maine,2008,Options to vote early-in person and by mail available to all voters. 
Maine,2012,Options to vote early-in person and by mail available to all voters. 
Maine,2016,Options to vote early-in person and by mail available to all voters. 
Maine,2020,Options to vote early-in person and by mail available to all voters. 
Maine,2024,Options to vote early-in person and by mail available to all voters. 
Maryland,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Maryland,2004,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Maryland,2008,Options to vote early-in person and by mail available to all voters. 
Maryland,2012,Options to vote early-in person and by mail available to all voters. 
Maryland,2016,Options to vote early-in person and by mail available to all voters. 
Maryland,2020,Options to vote early-in person and by mail available to all voters. 
Maryland,2024,Options to vote early-in person and by mail available to all voters. 
Massachusetts,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Massachusetts,2004,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Massachusetts,2008,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Massachusetts,2012,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Massachusetts,2016,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Massachusetts,2020,Options to vote early-in person and by mail available to all voters. 
Massachusetts,2024,Options to vote early-in person and by mail available to all voters. 
Michigan,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Michigan,2004,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Michigan,2008,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Michigan,2012,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Michigan,2016,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Michigan,2020,Options to vote early-in person and by mail available to all voters. 
Michigan,2024,Options to vote early-in person and by mail available to all voters. 
Minnesota,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Minnesota,2004,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Minnesota,2008,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Minnesota,2012,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Minnesota,2016,Options to vote early-in person and by mail available to all voters. 
Minnesota,2020,Options to vote early-in person and by mail available to all voters. 
Minnesota,2024,Options to vote early-in person and by mail available to all voters. 
Mississippi,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Mississippi,2004,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Mississippi,2008,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Mississippi,2012,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Mississippi,2016,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Mississippi,2020,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Mississippi,2024,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Missouri,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Missouri,2004,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Missouri,2008,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Missouri,2012,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Missouri,2016,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Missouri,2020,Options to vote early-in person and by mail available to all voters. 
Missouri,2024,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Montana,2000,Options to vote early-in person and by mail available to all voters. 
Montana,2004,Options to vote early-in person and by mail available to all voters. 
Montana,2008,Options to vote early-in person and by mail available to all voters. 
Montana,2012,Options to vote early-in person and by mail available to all voters. 
Montana,2016,Options to vote early-in person and by mail available to all voters. 
Montana,2020,Options to vote early-in person and by mail available to all voters. 
Montana,2024,Options to vote early-in person and by mail available to all voters. 
Nebraska,2000,Options to vote early-in person and by mail available to all voters. 
Nebraska,2004,Options to vote early-in person and by mail available to all voters. 
Nebraska,2008,Options to vote early-in person and by mail available to all voters. 
Nebraska,2012,Options to vote early-in person and by mail available to all voters. 
Nebraska,2016,Options to vote early-in person and by mail available to all voters. 
Nebraska,2020,Options to vote early-in person and by mail available to all voters. 
Nebraska,2024,Options to vote early-in person and by mail available to all voters. 
Nevada,2000,Options to vote early-in person and by mail available to all voters. 
Nevada,2004,Options to vote early-in person and by mail available to all voters. 
Nevada,2008,Options to vote early-in person and by mail available to all voters. 
Nevada,2012,Options to vote early-in person and by mail available to all voters. 
Nevada,2016,Options to vote early-in person and by mail available to all voters. 
Nevada,2020,Options to vote early-in person and by mail available to all voters. 
Nevada,2024,Options to vote early-in person and by mail available to all voters. 
New Hampshire,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
New Hampshire,2004,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
New Hampshire,2008,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
New Hampshire,2012,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
New Hampshire,2016,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
New Hampshire,2020,Options to vote early-in person and by mail available to all voters. 
New Hampshire,2024,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
New Jersey,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
New Jersey,2004,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
New Jersey,2008,Options to vote early-in person and by mail available to all voters. 
New Jersey,2012,Options to vote early-in person and by mail available to all voters. 
New Jersey,2016,Options to vote early-in person and by mail available to all voters. 
New Jersey,2020,Options to vote early-in person and by mail available to all voters. 
New Jersey,2024,Options to vote early-in person and by mail available to all voters. 
New Mexico,2000,Options to vote early-in person and by mail available to all voters. 
New Mexico,2004,Options to vote early-in person and by mail available to all voters. 
New Mexico,2008,Options to vote early-in person and by mail available to all voters. 
New Mexico,2012,Options to vote early-in person and by mail available to all voters. 
New Mexico,2016,Options to vote early-in person and by mail available to all voters. 
New Mexico,2020,Options to vote early-in person and by mail available to all voters. 
New Mexico,2024,Options to vote early-in person and by mail available to all voters. 
New York,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
New York,2004,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
New York,2008,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
New York,2012,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
New York,2016,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
New York,2020,Options to vote early-in person and by mail available to all voters. 
New York,2024,Options to vote early-in person and by mail available to all voters. 
North Carolina,2000,Options to vote early-in person and by mail available to all voters. 
North Carolina,2004,Options to vote early-in person and by mail available to all voters. 
North Carolina,2008,Options to vote early-in person and by mail available to all voters. 
North Carolina,2012,Options to vote early-in person and by mail available to all voters. 
North Carolina,2016,Options to vote early-in person and by mail available to all voters. 
North Carolina,2020,Options to vote early-in person and by mail available to all voters. 
North Carolina,2024,Options to vote early-in person and by mail available to all voters. 
North Dakota,2000,Options to vote early-in person and by mail available to all voters. 
North Dakota,2004,Options to vote early-in person and by mail available to all voters. 
North Dakota,2008,Options to vote early-in person and by mail available to all voters. 
North Dakota,2012,Options to vote early-in person and by mail available to all voters. 
North Dakota,2016,Options to vote early-in person and by mail available to all voters. 
North Dakota,2020,Options to vote early-in person and by mail available to all voters. 
North Dakota,2024,Options to vote early-in person and by mail available to all voters. 
Ohio,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Ohio,2004,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Ohio,2008,Options to vote early-in person and by mail available to all voters. 
Ohio,2012,Options to vote early-in person and by mail available to all voters. 
Ohio,2016,Options to vote early-in person and by mail available to all voters. 
Ohio,2020,Options to vote early-in person and by mail available to all voters. 
Ohio,2024,Options to vote early-in person and by mail available to all voters. 
Oklahoma,2000,Options to vote early-in person and by mail available to all voters. 
Oklahoma,2004,Options to vote early-in person and by mail available to all voters. 
Oklahoma,2008,Options to vote early-in person and by mail available to all voters. 
Oklahoma,2012,Options to vote early-in person and by mail available to all voters. 
Oklahoma,2016,Options to vote early-in person and by mail available to all voters. 
Oklahoma,2020,Options to vote early-in person and by mail available to all voters. 
Oklahoma,2024,Options to vote early-in person and by mail available to all voters. 
Oregon,2000,Options to vote early-in person and by mail available to all voters. 
Oregon,2004,Options to vote early-in person and by mail available to all voters. 
Oregon,2008,Options to vote early-in person and by mail available to all voters. 
Oregon,2012,Options to vote early-in person and by mail available to all voters. 
Oregon,2016,Options to vote early-in person and by mail available to all voters. 
Oregon,2020,Options to vote early-in person and by mail available to all voters. 
Oregon,2024,Options to vote early-in person and by mail available to all voters. 
Pennsylvania,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Pennsylvania,2004,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Pennsylvania,2008,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Pennsylvania,2012,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Pennsylvania,2016,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Pennsylvania,2020,Options to vote early-in person and by mail available to all voters. 
Pennsylvania,2024,Options to vote early-in person and by mail available to all voters. 
Rhode Island,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Rhode Island,2004,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Rhode Island,2008,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Rhode Island,2012,Options to vote early-in person and by mail available to all voters. 
Rhode Island,2016,Options to vote early-in person and by mail available to all voters. 
Rhode Island,2020,Options to vote early-in person and by mail available to all voters. 
Rhode Island,2024,Options to vote early-in person and by mail available to all voters. 
South Carolina,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
South Carolina,2004,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
South Carolina,2008,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
South Carolina,2012,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
South Carolina,2016,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
South Carolina,2020,Options to vote early-in person and by mail available to all voters. 
South Carolina,2024,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
South Dakota,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
South Dakota,2004,Options to vote early-in person and by mail available to all voters. 
South Dakota,2008,Options to vote early-in person and by mail available to all voters. 
South Dakota,2012,Options to vote early-in person and by mail available to all voters. 
South Dakota,2016,Options to vote early-in person and by mail available to all voters. 
South Dakota,2020,Options to vote early-in person and by mail available to all voters. 
South Dakota,2024,Options to vote early-in person and by mail available to all voters. 
Tennessee,2000,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Tennessee,2004,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Tennessee,2008,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Tennessee,2012,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Tennessee,2016,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Tennessee,2020,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Tennessee,2024,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Texas,2000,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Texas,2004,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Texas,2008,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Texas,2012,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Texas,2016,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Texas,2020,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Texas,2024,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Utah,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Utah,2004,Options to vote early-in person and by mail available to all voters. 
Utah,2008,Options to vote early-in person and by mail available to all voters. 
Utah,2012,Options to vote early-in person and by mail available to all voters. 
Utah,2016,Options to vote early-in person and by mail available to all voters. 
Utah,2020,Options to vote early-in person and by mail available to all voters. 
Utah,2024,Options to vote early-in person and by mail available to all voters. 
Vermont,2000,Options to vote early-in person and by mail available to all voters. 
Vermont,2004,Options to vote early-in person and by mail available to all voters. 
Vermont,2008,Options to vote early-in person and by mail available to all voters. 
Vermont,2012,Options to vote early-in person and by mail available to all voters. 
Vermont,2016,Options to vote early-in person and by mail available to all voters. 
Vermont,2020,Options to vote early-in person and by mail available to all voters. 
Vermont,2024,Options to vote early-in person and by mail available to all voters. 
Virginia,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Virginia,2004,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Virginia,2008,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Virginia,2012,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Virginia,2016,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Virginia,2020,Options to vote early-in person and by mail available to all voters. 
Virginia,2024,Options to vote early-in person and by mail available to all voters. 
Washington,2000,Options to vote early-in person and by mail available to all voters. 
Washington,2004,Options to vote early-in person and by mail available to all voters. 
Washington,2008,Options to vote early-in person and by mail available to all voters. 
Washington,2012,Options to vote early-in person and by mail available to all voters. 
Washington,2016,Options to vote early-in person and by mail available to all voters. 
Washington,2020,Options to vote early-in person and by mail available to all voters. 
Washington,2024,Options to vote early-in person and by mail available to all voters. 
West Virginia,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
West Virginia,2004,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
West Virginia,2008,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
West Virginia,2012,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
West Virginia,2016,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
West Virginia,2020,Options to vote early-in person and by mail available to all voters. 
West Virginia,2024,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Wisconsin,2000,Options to vote early-in person and by mail available to all voters. 
Wisconsin,2004,Options to vote early-in person and by mail available to all voters. 
Wisconsin,2008,Options to vote early-in person and by mail available to all voters. 
Wisconsin,2012,Options to vote early-in person and by mail available to all voters. 
Wisconsin,2016,Options to vote early-in person and by mail available to all voters. 
Wisconsin,2020,Options to vote early-in person and by mail available to all voters. 
Wisconsin,2024,Options to vote early-in person and by mail available to all voters. 
Wyoming,2000,Options to vote early-in person and by mail available to all voters. 
Wyoming,2004,Options to vote early-in person and by mail available to all voters. 
Wyoming,2008,Options to vote early-in person and by mail available to all voters. 
Wyoming,2012,Options to vote early-in person and by mail available to all voters. 
Wyoming,2016,Options to vote early-in person and by mail available to all voters. 
Wyoming,2020,Options to vote early-in person and by mail available to all voters. 
Wyoming,2024,Options to vote early-in person and by mail available to all voters. 
