State,Year,Ranking
Indiana,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Indiana,2002,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Indiana,2004,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Indiana,2006,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Indiana,2008,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Indiana,2010,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Indiana,2012,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Indiana,2014,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Indiana,2016,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Indiana,2018,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Indiana,2020,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Indiana,2022,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Indiana,2024,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Indiana,2026,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Iowa,2000,Options to vote early-in person and by mail available to all voters. 
Iowa,2002,Options to vote early-in person and by mail available to all voters. 
Iowa,2004,Options to vote early-in person and by mail available to all voters. 
Iowa,2006,Options to vote early-in person and by mail available to all voters. 
Iowa,2008,Options to vote early-in person and by mail available to all voters. 
Iowa,2010,Options to vote early-in person and by mail available to all voters. 
Iowa,2012,Options to vote early-in person and by mail available to all voters. 
Iowa,2014,Options to vote early-in person and by mail available to all voters. 
Iowa,2016,Options to vote early-in person and by mail available to all voters. 
Iowa,2018,Options to vote early-in person and by mail available to all voters. 
Iowa,2020,Options to vote early-in person and by mail available to all voters. 
Iowa,2022,Options to vote early-in person and by mail available to all voters. 
Iowa,2024,Options to vote early-in person and by mail available to all voters. 
Iowa,2026,Options to vote early-in person and by mail available to all voters. 
Kansas,2000,Options to vote early-in person and by mail available to all voters. 
Kansas,2002,Options to vote early-in person and by mail available to all voters. 
Kansas,2004,Options to vote early-in person and by mail available to all voters. 
Kansas,2006,Options to vote early-in person and by mail available to all voters. 
Kansas,2008,Options to vote early-in person and by mail available to all voters. 
Kansas,2010,Options to vote early-in person and by mail available to all voters. 
Kansas,2012,Options to vote early-in person and by mail available to all voters. 
Kansas,2014,Options to vote early-in person and by mail available to all voters. 
Kansas,2016,Options to vote early-in person and by mail available to all voters. 
Kansas,2018,Options to vote early-in person and by mail available to all voters. 
Kansas,2020,Options to vote early-in person and by mail available to all voters. 
Kansas,2022,Options to vote early-in person and by mail available to all voters. 
Kansas,2024,Options to vote early-in person and by mail available to all voters. 
Kansas,2026,Options to vote early-in person and by mail available to all voters. 
Kentucky,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Kentucky,2002,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Kentucky,2004,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Kentucky,2006,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Kentucky,2008,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Kentucky,2010,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Kentucky,2012,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Kentucky,2014,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Kentucky,2016,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Kentucky,2018,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Kentucky,2020,Options to vote early-in person and by mail available to all voters. 
Kentucky,2022,Options to vote early-in person and by mail available to all voters. 
Kentucky,2024,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Kentucky,2026,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Louisiana,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Louisiana,2002,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Louisiana,2004,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Louisiana,2006,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Louisiana,2008,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Louisiana,2010,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Louisiana,2012,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Louisiana,2014,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Louisiana,2016,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Louisiana,2018,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Louisiana,2020,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Louisiana,2022,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Louisiana,2024,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Louisiana,2026,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Maine,2000,Options to vote early-in person and by mail available to all voters. 
Maine,2002,Options to vote early-in person and by mail available to all voters. 
Maine,2004,Options to vote early-in person and by mail available to all voters. 
Maine,2006,Options to vote early-in person and by mail available to all voters. 
Maine,2008,Options to vote early-in person and by mail available to all voters. 
Maine,2010,Options to vote early-in person and by mail available to all voters. 
Maine,2012,Options to vote early-in person and by mail available to all voters. 
Maine,2014,Options to vote early-in person and by mail available to all voters. 
Maine,2016,Options to vote early-in person and by mail available to all voters. 
Maine,2018,Options to vote early-in person and by mail available to all voters. 
Maine,2020,Options to vote early-in person and by mail available to all voters. 
Maine,2022,Options to vote early-in person and by mail available to all voters. 
Maine,2024,Options to vote early-in person and by mail available to all voters. 
Maine,2026,Options to vote early-in person and by mail available to all voters. 
Maryland,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Maryland,2002,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Maryland,2004,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Maryland,2006,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Maryland,2008,Options to vote early-in person and by mail available to all voters. 
Maryland,2010,Options to vote early-in person and by mail available to all voters. 
Maryland,2012,Options to vote early-in person and by mail available to all voters. 
Maryland,2014,Options to vote early-in person and by mail available to all voters. 
Maryland,2016,Options to vote early-in person and by mail available to all voters. 
Maryland,2018,Options to vote early-in person and by mail available to all voters. 
Maryland,2020,Options to vote early-in person and by mail available to all voters. 
Maryland,2022,Options to vote early-in person and by mail available to all voters. 
Maryland,2024,Options to vote early-in person and by mail available to all voters. 
Maryland,2026,Options to vote early-in person and by mail available to all voters. 
Massachusetts,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Massachusetts,2002,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Massachusetts,2004,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Massachusetts,2006,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Massachusetts,2008,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Massachusetts,2010,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Massachusetts,2012,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Massachusetts,2014,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Massachusetts,2016,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Massachusetts,2018,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Massachusetts,2020,Options to vote early-in person and by mail available to all voters. 
Massachusetts,2022,Options to vote early-in person and by mail available to all voters. 
Massachusetts,2024,Options to vote early-in person and by mail available to all voters. 
Massachusetts,2026,Options to vote early-in person and by mail available to all voters. 
Michigan,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Michigan,2002,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Michigan,2004,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Michigan,2006,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Michigan,2008,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Michigan,2010,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Michigan,2012,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Michigan,2014,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Michigan,2016,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Michigan,2018,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Michigan,2020,Options to vote early-in person and by mail available to all voters. 
Michigan,2022,Options to vote early-in person and by mail available to all voters. 
Michigan,2024,Options to vote early-in person and by mail available to all voters. 
Michigan,2026,Options to vote early-in person and by mail available to all voters. 
Minnesota,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Minnesota,2002,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Minnesota,2004,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Minnesota,2006,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Minnesota,2008,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Minnesota,2010,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Minnesota,2012,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Minnesota,2014,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Minnesota,2016,Options to vote early-in person and by mail available to all voters. 
Minnesota,2018,Options to vote early-in person and by mail available to all voters. 
Minnesota,2020,Options to vote early-in person and by mail available to all voters. 
Minnesota,2022,Options to vote early-in person and by mail available to all voters. 
Minnesota,2024,Options to vote early-in person and by mail available to all voters. 
Minnesota,2026,Options to vote early-in person and by mail available to all voters. 
Mississippi,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Mississippi,2002,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Mississippi,2004,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Mississippi,2006,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Mississippi,2008,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Mississippi,2010,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Mississippi,2012,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Mississippi,2014,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Mississippi,2016,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Mississippi,2018,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Mississippi,2020,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Mississippi,2022,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Mississippi,2024,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Mississippi,2026,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Missouri,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Missouri,2002,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Missouri,2004,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Missouri,2006,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Missouri,2008,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Missouri,2010,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Missouri,2012,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Missouri,2014,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Missouri,2016,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Missouri,2018,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
Missouri,2020,Options to vote early-in person and by mail available to all voters. 
Missouri,2022,Options to vote early-in person and by mail available to all voters. 
Missouri,2024,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Missouri,2026,Option to vote early in-person available to all voters. Eligible reason required to vote by mail. 
Montana,2000,Options to vote early-in person and by mail available to all voters. 
Montana,2002,Options to vote early-in person and by mail available to all voters. 
Montana,2004,Options to vote early-in person and by mail available to all voters. 
Montana,2006,Options to vote early-in person and by mail available to all voters. 
Montana,2008,Options to vote early-in person and by mail available to all voters. 
Montana,2010,Options to vote early-in person and by mail available to all voters. 
Montana,2012,Options to vote early-in person and by mail available to all voters. 
Montana,2014,Options to vote early-in person and by mail available to all voters. 
Montana,2016,Options to vote early-in person and by mail available to all voters. 
Montana,2018,Options to vote early-in person and by mail available to all voters. 
Montana,2020,Options to vote early-in person and by mail available to all voters. 
Montana,2022,Options to vote early-in person and by mail available to all voters. 
Montana,2024,Options to vote early-in person and by mail available to all voters. 
Montana,2026,Options to vote early-in person and by mail available to all voters. 
Nebraska,2000,Options to vote early-in person and by mail available to all voters. 
Nebraska,2002,Options to vote early-in person and by mail available to all voters. 
Nebraska,2004,Options to vote early-in person and by mail available to all voters. 
Nebraska,2006,Options to vote early-in person and by mail available to all voters. 
Nebraska,2008,Options to vote early-in person and by mail available to all voters. 
Nebraska,2010,Options to vote early-in person and by mail available to all voters. 
Nebraska,2012,Options to vote early-in person and by mail available to all voters. 
Nebraska,2014,Options to vote early-in person and by mail available to all voters. 
Nebraska,2016,Options to vote early-in person and by mail available to all voters. 
Nebraska,2018,Options to vote early-in person and by mail available to all voters. 
Nebraska,2020,Options to vote early-in person and by mail available to all voters. 
Nebraska,2022,Options to vote early-in person and by mail available to all voters. 
Nebraska,2024,Options to vote early-in person and by mail available to all voters. 
Nebraska,2026,Options to vote early-in person and by mail available to all voters. 
Nevada,2000,Options to vote early-in person and by mail available to all voters. 
Nevada,2002,Options to vote early-in person and by mail available to all voters. 
Nevada,2004,Options to vote early-in person and by mail available to all voters. 
Nevada,2006,Options to vote early-in person and by mail available to all voters. 
Nevada,2008,Options to vote early-in person and by mail available to all voters. 
Nevada,2010,Options to vote early-in person and by mail available to all voters. 
Nevada,2012,Options to vote early-in person and by mail available to all voters. 
Nevada,2014,Options to vote early-in person and by mail available to all voters. 
Nevada,2016,Options to vote early-in person and by mail available to all voters. 
Nevada,2018,Options to vote early-in person and by mail available to all voters. 
Nevada,2020,Options to vote early-in person and by mail available to all voters. 
Nevada,2022,Options to vote early-in person and by mail available to all voters. 
Nevada,2024,Options to vote early-in person and by mail available to all voters. 
Nevada,2026,Options to vote early-in person and by mail available to all voters. 
New Hampshire,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
New Hampshire,2002,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
New Hampshire,2004,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
New Hampshire,2006,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
New Hampshire,2008,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
New Hampshire,2010,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
New Hampshire,2012,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
New Hampshire,2014,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
New Hampshire,2016,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
New Hampshire,2018,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
New Hampshire,2020,Options to vote early-in person and by mail available to all voters. 
New Hampshire,2022,Options to vote early-in person and by mail available to all voters. 
New Hampshire,2024,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
New Hampshire,2026,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
New Jersey,2000,No early in-person voting option available to all voters. Eligible reason required to vote by mail. 
